asn,prefix,as_path
58524,1.2.3.0/24,"(58524, 14593, 2152, 25)"
40714,1.2.3.0/24,"(40714, 14593, 2152, 25)"
27948,1.2.3.0/24,"(27948, 14593, 2152, 25)"
398876,1.2.3.0/24,"(398876, 14265, 2152, 25)"
397858,1.2.3.0/24,"(397858, 14265, 2152, 25)"
397850,1.2.3.0/24,"(397850, 14265, 2152, 25)"
63443,1.2.3.0/24,"(63443, 14265, 2152, 25)"
40218,1.2.3.0/24,"(40218, 14265, 2152, 25)"
33748,1.2.3.0/24,"(33748, 14265, 2152, 25)"
33625,1.2.3.0/24,"(33625, 14265, 2152, 25)"
32928,1.2.3.0/24,"(32928, 14265, 2152, 25)"
27607,1.2.3.0/24,"(27607, 14265, 2152, 25)"
27001,1.2.3.0/24,"(27001, 14265, 2152, 25)"
26032,1.2.3.0/24,"(26032, 14265, 2152, 25)"
23526,1.2.3.0/24,"(23526, 14265, 2152, 25)"
23322,1.2.3.0/24,"(23322, 14265, 2152, 25)"
21912,1.2.3.0/24,"(21912, 14265, 2152, 25)"
20246,1.2.3.0/24,"(20246, 14265, 2152, 25)"
18949,1.2.3.0/24,"(18949, 14265, 2152, 25)"
16521,1.2.3.0/24,"(16521, 14265, 2152, 25)"
12168,1.2.3.0/24,"(12168, 14265, 2152, 25)"
10951,1.2.3.0/24,"(10951, 14265, 2152, 25)"
46502,1.2.3.0/24,"(46502, 20115, 2152, 25)"
394725,1.2.3.0/24,"(394725, 15169, 2152, 25)"
396425,1.2.3.0/24,"(396425, 14041, 2152, 25)"
62671,1.2.3.0/24,"(62671, 14041, 2152, 25)"
36691,1.2.3.0/24,"(36691, 14041, 2152, 25)"
17207,1.2.3.0/24,"(17207, 14041, 2152, 25)"
16519,1.2.3.0/24,"(16519, 14041, 2152, 25)"
2902,1.2.3.0/24,"(2902, 14041, 2152, 25)"
194,1.2.3.0/24,"(194, 14041, 2152, 25)"
63221,1.2.3.0/24,"(63221, 19151, 2152, 25)"
11684,1.2.3.0/24,"(11684, 20115, 2152, 25)"
272399,1.2.3.0/24,"(272399, 17072, 2152, 25)"
396182,1.2.3.0/24,"(396182, 20115, 2152, 25)"
401782,1.2.3.0/24,"(401782, 13335, 2152, 25)"
401297,1.2.3.0/24,"(401297, 13335, 2152, 25)"
401141,1.2.3.0/24,"(401141, 13335, 2152, 25)"
400797,1.2.3.0/24,"(400797, 13335, 2152, 25)"
400566,1.2.3.0/24,"(400566, 13335, 2152, 25)"
399939,1.2.3.0/24,"(399939, 13335, 2152, 25)"
399798,1.2.3.0/24,"(399798, 13335, 2152, 25)"
399358,1.2.3.0/24,"(399358, 13335, 2152, 25)"
399088,1.2.3.0/24,"(399088, 13335, 2152, 25)"
398561,1.2.3.0/24,"(398561, 13335, 2152, 25)"
398116,1.2.3.0/24,"(398116, 13335, 2152, 25)"
397749,1.2.3.0/24,"(397749, 13335, 2152, 25)"
397341,1.2.3.0/24,"(397341, 13335, 2152, 25)"
397322,1.2.3.0/24,"(397322, 13335, 2152, 25)"
397133,1.2.3.0/24,"(397133, 13335, 2152, 25)"
396875,1.2.3.0/24,"(396875, 13335, 2152, 25)"
396223,1.2.3.0/24,"(396223, 13335, 2152, 25)"
395989,1.2.3.0/24,"(395989, 13335, 2152, 25)"
395784,1.2.3.0/24,"(395784, 13335, 2152, 25)"
395778,1.2.3.0/24,"(395778, 13335, 2152, 25)"
395480,1.2.3.0/24,"(395480, 13335, 2152, 25)"
394302,1.2.3.0/24,"(394302, 13335, 2152, 25)"
394169,1.2.3.0/24,"(394169, 13335, 2152, 25)"
394138,1.2.3.0/24,"(394138, 13335, 2152, 25)"
393985,1.2.3.0/24,"(393985, 13335, 2152, 25)"
393883,1.2.3.0/24,"(393883, 13335, 2152, 25)"
393409,1.2.3.0/24,"(393409, 13335, 2152, 25)"
393247,1.2.3.0/24,"(393247, 13335, 2152, 25)"
329068,1.2.3.0/24,"(329068, 13335, 2152, 25)"
328486,1.2.3.0/24,"(328486, 13335, 2152, 25)"
328093,1.2.3.0/24,"(328093, 13335, 2152, 25)"
327977,1.2.3.0/24,"(327977, 13335, 2152, 25)"
327888,1.2.3.0/24,"(327888, 13335, 2152, 25)"
327884,1.2.3.0/24,"(327884, 13335, 2152, 25)"
327784,1.2.3.0/24,"(327784, 13335, 2152, 25)"
270681,1.2.3.0/24,"(270681, 13335, 2152, 25)"
270631,1.2.3.0/24,"(270631, 13335, 2152, 25)"
264820,1.2.3.0/24,"(264820, 13335, 2152, 25)"
263876,1.2.3.0/24,"(263876, 13335, 2152, 25)"
262579,1.2.3.0/24,"(262579, 13335, 2152, 25)"
262171,1.2.3.0/24,"(262171, 13335, 2152, 25)"
216425,1.2.3.0/24,"(216425, 13335, 2152, 25)"
216237,1.2.3.0/24,"(216237, 13335, 2152, 25)"
216206,1.2.3.0/24,"(216206, 13335, 2152, 25)"
213563,1.2.3.0/24,"(213563, 13335, 2152, 25)"
213129,1.2.3.0/24,"(213129, 13335, 2152, 25)"
212772,1.2.3.0/24,"(212772, 13335, 2152, 25)"
212606,1.2.3.0/24,"(212606, 13335, 2152, 25)"
211964,1.2.3.0/24,"(211964, 13335, 2152, 25)"
211693,1.2.3.0/24,"(211693, 13335, 2152, 25)"
211644,1.2.3.0/24,"(211644, 13335, 2152, 25)"
211140,1.2.3.0/24,"(211140, 13335, 2152, 25)"
210356,1.2.3.0/24,"(210356, 13335, 2152, 25)"
209490,1.2.3.0/24,"(209490, 13335, 2152, 25)"
209242,1.2.3.0/24,"(209242, 13335, 2152, 25)"
209120,1.2.3.0/24,"(209120, 13335, 2152, 25)"
209103,1.2.3.0/24,"(209103, 13335, 2152, 25)"
209068,1.2.3.0/24,"(209068, 13335, 2152, 25)"
208140,1.2.3.0/24,"(208140, 13335, 2152, 25)"
207661,1.2.3.0/24,"(207661, 13335, 2152, 25)"
207354,1.2.3.0/24,"(207354, 13335, 2152, 25)"
206998,1.2.3.0/24,"(206998, 13335, 2152, 25)"
206587,1.2.3.0/24,"(206587, 13335, 2152, 25)"
204588,1.2.3.0/24,"(204588, 13335, 2152, 25)"
204341,1.2.3.0/24,"(204341, 13335, 2152, 25)"
204016,1.2.3.0/24,"(204016, 13335, 2152, 25)"
203491,1.2.3.0/24,"(203491, 13335, 2152, 25)"
202595,1.2.3.0/24,"(202595, 13335, 2152, 25)"
201755,1.2.3.0/24,"(201755, 13335, 2152, 25)"
201708,1.2.3.0/24,"(201708, 13335, 2152, 25)"
201651,1.2.3.0/24,"(201651, 13335, 2152, 25)"
201154,1.2.3.0/24,"(201154, 13335, 2152, 25)"
200963,1.2.3.0/24,"(200963, 13335, 2152, 25)"
200869,1.2.3.0/24,"(200869, 13335, 2152, 25)"
200692,1.2.3.0/24,"(200692, 13335, 2152, 25)"
199661,1.2.3.0/24,"(199661, 13335, 2152, 25)"
199535,1.2.3.0/24,"(199535, 13335, 2152, 25)"
198321,1.2.3.0/24,"(198321, 13335, 2152, 25)"
197788,1.2.3.0/24,"(197788, 13335, 2152, 25)"
197708,1.2.3.0/24,"(197708, 13335, 2152, 25)"
197387,1.2.3.0/24,"(197387, 13335, 2152, 25)"
197086,1.2.3.0/24,"(197086, 13335, 2152, 25)"
154204,1.2.3.0/24,"(154204, 13335, 2152, 25)"
152899,1.2.3.0/24,"(152899, 13335, 2152, 25)"
152695,1.2.3.0/24,"(152695, 13335, 2152, 25)"
152628,1.2.3.0/24,"(152628, 13335, 2152, 25)"
152594,1.2.3.0/24,"(152594, 13335, 2152, 25)"
152190,1.2.3.0/24,"(152190, 13335, 2152, 25)"
151398,1.2.3.0/24,"(151398, 13335, 2152, 25)"
147008,1.2.3.0/24,"(147008, 13335, 2152, 25)"
139886,1.2.3.0/24,"(139886, 13335, 2152, 25)"
138626,1.2.3.0/24,"(138626, 13335, 2152, 25)"
137973,1.2.3.0/24,"(137973, 13335, 2152, 25)"
137457,1.2.3.0/24,"(137457, 13335, 2152, 25)"
137456,1.2.3.0/24,"(137456, 13335, 2152, 25)"
137006,1.2.3.0/24,"(137006, 13335, 2152, 25)"
136271,1.2.3.0/24,"(136271, 13335, 2152, 25)"
135161,1.2.3.0/24,"(135161, 13335, 2152, 25)"
135160,1.2.3.0/24,"(135160, 13335, 2152, 25)"
134636,1.2.3.0/24,"(134636, 13335, 2152, 25)"
134589,1.2.3.0/24,"(134589, 13335, 2152, 25)"
134145,1.2.3.0/24,"(134145, 13335, 2152, 25)"
133860,1.2.3.0/24,"(133860, 13335, 2152, 25)"
133133,1.2.3.0/24,"(133133, 13335, 2152, 25)"
132693,1.2.3.0/24,"(132693, 13335, 2152, 25)"
131392,1.2.3.0/24,"(131392, 13335, 2152, 25)"
131254,1.2.3.0/24,"(131254, 13335, 2152, 25)"
63834,1.2.3.0/24,"(63834, 13335, 2152, 25)"
63418,1.2.3.0/24,"(63418, 13335, 2152, 25)"
63248,1.2.3.0/24,"(63248, 13335, 2152, 25)"
63185,1.2.3.0/24,"(63185, 13335, 2152, 25)"
62975,1.2.3.0/24,"(62975, 13335, 2152, 25)"
62881,1.2.3.0/24,"(62881, 13335, 2152, 25)"
62763,1.2.3.0/24,"(62763, 13335, 2152, 25)"
62588,1.2.3.0/24,"(62588, 13335, 2152, 25)"
62053,1.2.3.0/24,"(62053, 13335, 2152, 25)"
60933,1.2.3.0/24,"(60933, 13335, 2152, 25)"
60851,1.2.3.0/24,"(60851, 13335, 2152, 25)"
60100,1.2.3.0/24,"(60100, 13335, 2152, 25)"
59907,1.2.3.0/24,"(59907, 13335, 2152, 25)"
58654,1.2.3.0/24,"(58654, 13335, 2152, 25)"
56641,1.2.3.0/24,"(56641, 13335, 2152, 25)"
56289,1.2.3.0/24,"(56289, 13335, 2152, 25)"
56180,1.2.3.0/24,"(56180, 13335, 2152, 25)"
56026,1.2.3.0/24,"(56026, 13335, 2152, 25)"
55902,1.2.3.0/24,"(55902, 13335, 2152, 25)"
55834,1.2.3.0/24,"(55834, 13335, 2152, 25)"
55719,1.2.3.0/24,"(55719, 13335, 2152, 25)"
55304,1.2.3.0/24,"(55304, 13335, 2152, 25)"
54739,1.2.3.0/24,"(54739, 13335, 2152, 25)"
54732,1.2.3.0/24,"(54732, 13335, 2152, 25)"
54574,1.2.3.0/24,"(54574, 13335, 2152, 25)"
54537,1.2.3.0/24,"(54537, 13335, 2152, 25)"
54167,1.2.3.0/24,"(54167, 13335, 2152, 25)"
54023,1.2.3.0/24,"(54023, 13335, 2152, 25)"
53871,1.2.3.0/24,"(53871, 13335, 2152, 25)"
52672,1.2.3.0/24,"(52672, 13335, 2152, 25)"
50756,1.2.3.0/24,"(50756, 13335, 2152, 25)"
50330,1.2.3.0/24,"(50330, 13335, 2152, 25)"
50097,1.2.3.0/24,"(50097, 13335, 2152, 25)"
49036,1.2.3.0/24,"(49036, 13335, 2152, 25)"
48703,1.2.3.0/24,"(48703, 13335, 2152, 25)"
47340,1.2.3.0/24,"(47340, 13335, 2152, 25)"
46739,1.2.3.0/24,"(46739, 13335, 2152, 25)"
46469,1.2.3.0/24,"(46469, 13335, 2152, 25)"
46411,1.2.3.0/24,"(46411, 13335, 2152, 25)"
46362,1.2.3.0/24,"(46362, 13335, 2152, 25)"
45640,1.2.3.0/24,"(45640, 13335, 2152, 25)"
44763,1.2.3.0/24,"(44763, 13335, 2152, 25)"
44594,1.2.3.0/24,"(44594, 13335, 2152, 25)"
43947,1.2.3.0/24,"(43947, 13335, 2152, 25)"
43916,1.2.3.0/24,"(43916, 13335, 2152, 25)"
43868,1.2.3.0/24,"(43868, 13335, 2152, 25)"
43570,1.2.3.0/24,"(43570, 13335, 2152, 25)"
42479,1.2.3.0/24,"(42479, 13335, 2152, 25)"
41821,1.2.3.0/24,"(41821, 13335, 2152, 25)"
41077,1.2.3.0/24,"(41077, 13335, 2152, 25)"
40809,1.2.3.0/24,"(40809, 13335, 2152, 25)"
40680,1.2.3.0/24,"(40680, 13335, 2152, 25)"
40113,1.2.3.0/24,"(40113, 13335, 2152, 25)"
39715,1.2.3.0/24,"(39715, 13335, 2152, 25)"
38981,1.2.3.0/24,"(38981, 13335, 2152, 25)"
37121,1.2.3.0/24,"(37121, 13335, 2152, 25)"
36590,1.2.3.0/24,"(36590, 13335, 2152, 25)"
36376,1.2.3.0/24,"(36376, 13335, 2152, 25)"
36116,1.2.3.0/24,"(36116, 13335, 2152, 25)"
34697,1.2.3.0/24,"(34697, 13335, 2152, 25)"
34451,1.2.3.0/24,"(34451, 13335, 2152, 25)"
33198,1.2.3.0/24,"(33198, 13335, 2152, 25)"
33174,1.2.3.0/24,"(33174, 13335, 2152, 25)"
32368,1.2.3.0/24,"(32368, 13335, 2152, 25)"
31799,1.2.3.0/24,"(31799, 13335, 2152, 25)"
31721,1.2.3.0/24,"(31721, 13335, 2152, 25)"
31202,1.2.3.0/24,"(31202, 13335, 2152, 25)"
30905,1.2.3.0/24,"(30905, 13335, 2152, 25)"
30572,1.2.3.0/24,"(30572, 13335, 2152, 25)"
30276,1.2.3.0/24,"(30276, 13335, 2152, 25)"
30006,1.2.3.0/24,"(30006, 13335, 2152, 25)"
29938,1.2.3.0/24,"(29938, 13335, 2152, 25)"
29721,1.2.3.0/24,"(29721, 13335, 2152, 25)"
28853,1.2.3.0/24,"(28853, 13335, 2152, 25)"
28680,1.2.3.0/24,"(28680, 13335, 2152, 25)"
27811,1.2.3.0/24,"(27811, 13335, 2152, 25)"
26534,1.2.3.0/24,"(26534, 13335, 2152, 25)"
25889,1.2.3.0/24,"(25889, 13335, 2152, 25)"
25418,1.2.3.0/24,"(25418, 13335, 2152, 25)"
24984,1.2.3.0/24,"(24984, 13335, 2152, 25)"
24318,1.2.3.0/24,"(24318, 13335, 2152, 25)"
24226,1.2.3.0/24,"(24226, 13335, 2152, 25)"
23891,1.2.3.0/24,"(23891, 13335, 2152, 25)"
23235,1.2.3.0/24,"(23235, 13335, 2152, 25)"
23230,1.2.3.0/24,"(23230, 13335, 2152, 25)"
23145,1.2.3.0/24,"(23145, 13335, 2152, 25)"
23046,1.2.3.0/24,"(23046, 13335, 2152, 25)"
22803,1.2.3.0/24,"(22803, 13335, 2152, 25)"
22445,1.2.3.0/24,"(22445, 13335, 2152, 25)"
22328,1.2.3.0/24,"(22328, 13335, 2152, 25)"
22177,1.2.3.0/24,"(22177, 13335, 2152, 25)"
21765,1.2.3.0/24,"(21765, 13335, 2152, 25)"
21673,1.2.3.0/24,"(21673, 13335, 2152, 25)"
21203,1.2.3.0/24,"(21203, 13335, 2152, 25)"
20748,1.2.3.0/24,"(20748, 13335, 2152, 25)"
20577,1.2.3.0/24,"(20577, 13335, 2152, 25)"
20285,1.2.3.0/24,"(20285, 13335, 2152, 25)"
20200,1.2.3.0/24,"(20200, 13335, 2152, 25)"
20139,1.2.3.0/24,"(20139, 13335, 2152, 25)"
20085,1.2.3.0/24,"(20085, 13335, 2152, 25)"
